lifepro_coverage_id,planname_before,planname_after,friendly_name_crosswalk_authority
0822 620,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 621 END85,ACCIDENTAL DB - 621 END85
0822 665,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 665 STME95,ACCIDENTAL DB - 665 STME95
0822 960,ACCIDENTAL DEATH BENEFIT,"ACCIDENTAL DB - 960 LP85-M, 960 OL","ACCIDENTAL DB - 960 LP85-M, 960 OL"
0822 960PO,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT - 960 PO,ACCIDENTAL DEATH BENEFIT - 960 PO
0823 665,WAIVER OF PREMIUM,WAIVER OF PREM - 665 STME95,WAIVER OF PREM - 665 STME95
0823 896,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 665 STME95,WAIVER OF PREMIUM - 665 STME95
0823 96085,WAIVER OF PREMIUM - LPU AT 85/88,WAIVER OF PREMIUM - 960 LP85-M,WAIVER OF PREMIUM - 960 LP85-M
0823 960LP,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 LP65,WAIVER OF PREMIUM - 960 LP65
0823 960OL,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 OL,WAIVER OF PREMIUM - 960 OL
0823 960PO,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 PO,WAIVER OF PREMIUM - 960 PO
0823 960SP,WAIVER OF PREMIUM - SPOUSE,"SPOUSE WAIV OF PREM - 960 LP85-M, 960 PO","SPOUSE WAIV OF PREM - 960 LP85-M, 960 PO"
0824 P DTH,PAYOR DEATH,PAYOR DEATH - 960 OL,PAYOR DEATH - 960 OL
10827 CSI3,CSI LIFE $3000,GRADED DEATH BENEFIT WL - 100% AFTER YR2,GRADED DEATH BENEFIT WL - 100% AFTER YR2
10827 CSI5,CSI LIFE $5000,GRADED DEATH BENEFIT WL - 100% AFTER YR2,GRADED DEATH BENEFIT WL - 100% AFTER YR2
10827 CSI7,CSI LIFE $7500,GRADED DEATH BENEFIT WL - 100% AFTER YR2,GRADED DEATH BENEFIT WL - 100% AFTER YR2
1576 658,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 658 CEN I,DISABILITY WAIVER OF PREM - 658 CEN I
1576 659,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 659 CEN II,DISABILITY WAIVER OF PREM - 659 CEN II
1577 ADB,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - 658 CEN I, 659 CEN II","ACCIDENTAL DB - 658 CEN I, 659 CEN II"
1578 CTR,DEPENDENT CHILD TERM RIDER,DEPENDENT CTR - 658 CEN I,DEPENDENT CTR - 658 CEN I
1578 FTR,FAMILY TERM RIDER,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II","FTR - 658 CEN I, 658 CEN SD, 659 CEN II"
1578FTR WP,1578 FTR WAIVER OF PREMIUM,"FTR WAIV OF PREM - 658 CEN I, 659 CEN II","FTR WAIV OF PREM - 658 CEN I, 659 CEN II"
