severity,category,entity_key,target_field,notes,governance_action
WARN,ORPHAN_MPLAN,121PUA,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,130JEB,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,1669SR,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,1970JB,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,1970PA,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,1CSIMN,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (3 rows),WARN
WARN,ORPHAN_MPLAN,1L10OD,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (143 rows),WARN
WARN,ORPHAN_MPLAN,1L10PR,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,261PUA,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,2961ME,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,5646AT,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,578STR,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (4 rows),WARN
WARN,ORPHAN_MPLAN,57ATCR,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,5L01MA,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,719CTR,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,7686S3,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (3 rows),WARN
WARN,ORPHAN_MPLAN,7687J3,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,7690DT,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,910RWP,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,910SWP,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,934JWP,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,934SWP,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,943CWP,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (6 rows),WARN
WARN,ORPHAN_MPLAN,94PDIS,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,960CWP,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,967ADB,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (8 rows),WARN
WARN,ORPHAN_MPLAN,9DIS24,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (18 rows),WARN
WARN,ORPHAN_MPLAN,9DIS29,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,9DS24B,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (2 rows),WARN
WARN,ORPHAN_MPLAN,9DS24C,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (16 rows),WARN
WARN,ORPHAN_MPLAN,9GPO79,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,ORPHAN_MPLAN,9JPO46,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (10 rows),WARN
WARN,ORPHAN_MPLAN,9WP646,MPLAN,quikridr.MPLAN not in staged quikplan.PLAN (1 rows),WARN
WARN,BLANK_MPLAN,,MPLAN,2348 quikridr rows with blank MPLAN,WARN
ERROR,PLAN_CONTAINS_SPACE,0823 960CH,PLAN,"Closed catalog unauthorized emit (coverage_id=0823 960CH, authoritative=960CWP, remediation=Replace attempted PLAN with authoritative catalog PLAN (no spaces))",BLOCK
ERROR,PLAN_CONTAINS_SPACE,0824 P DIS,PLAN,"Closed catalog unauthorized emit (coverage_id=0824 P DIS, authoritative=94PDIS, remediation=Replace attempted PLAN with authoritative catalog PLAN (no spaces))",BLOCK
ERROR,PLAN_CONTAINS_SPACE,10827 MN5K,PLAN,"Closed catalog unauthorized emit (coverage_id=10827 MN5K, authoritative=1CSIMN, remediation=Replace attempted PLAN with authoritative catalog PLAN (no spaces))",BLOCK
ERROR,PLAN_CONTAINS_SPACE,1578 SPSPU,PLAN,"Closed catalog unauthorized emit (coverage_id=1578 SPSPU, authoritative=578STR, remediation=Replace attempted PLAN with authoritative catalog PLAN (no spaces))",BLOCK
ERROR,PLAN_CONTAINS_SPACE,1579 GPO,PLAN,"Closed catalog unauthorized emit (coverage_id=1579 GPO, authoritative=9GPO79, remediation=Replace attempted PLAN with authoritative catalog PLAN (no spaces))",BLOCK
ERROR,PLAN_CONTAINS_SPACE,1596 667,PLAN,"Closed catalog unauthorized emit (coverage_id=1596 667, authoritative=967ADB, remediation=Replace attempted PLAN with authoritative catalog PLAN (no spaces))",BLOCK
ERROR,PLAN_CONTAINS_SPACE,619 CH PU,PLAN,"Closed catalog unauthorized emit (coverage_id=619 CH PU, authoritative=719CTR, remediation=Replace attempted PLAN with authoritative catalog PLAN (no spaces))",BLOCK
