old_value,new_value,original_source,mapping_class,quarantine_reason,rollback_action,removed_from_master_crosswalk,governance_status
901122D991,01122D991C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901142D978,01142D978C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901154D174,01154D174C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901159D276,01159D276C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901185D536,01185D536C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901222DC,01222DCC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901222DD,01222DDC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9012FG8217,012FG8217C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901330D153,01330D153C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901353D732,01353D732C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9013FG8217,013FG8217C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014048,014048C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014059,014059C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014075A,014075AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014075B,014075BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014098A,014098AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014098B,014098BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014100B,014100BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014100C,014100CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014100D,014100DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014100E,014100EC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014112,014112C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014126A,014126AC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014130,014130C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901422D089,01422D089C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
9014FG8217,014FG8217C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
