METRIC,VALUE
plans_loaded,51
plans_matched,51
plans_missing,90
plans_using_default,51
plans_with_review_flag,51
cells_updated,77
cells_overwritten,45
blank_values_preserved,6
missing_plan_codes,121PUA;130JEB;165PUA;1666AI;170PUA;185PUA;1970PA;1OLPUA;1POPUA;1SALMI;261PUA;265PUA;280PUA;528CTR;542STR;543CTR;560STR;578CTR;578STR;57ATCR;5CDT10;719CDT;719CTR;719SDT;7619PU;7647CH;7647SP;7686S3;7687J3;7690DT;778FTR;7SDT10;901ADB;9065WP;9085WP;90OLWP;90PDTH;90POWP;910RWP;910SWP;920ADB;934JWP;934SWP;943CWP;94PDIS;9595WP;960ADB;960CWP;960GIO;960SWP;965ADB;9665WP;967ADB;976658;976659;977ADB;980JPO;982JPO;986JPO;9896WP;996ADB;9ADB10;9ADB15;9CDTWP;9CTRWP;9DIS20;9DIS24;9DIS25;9DIS29;9DIS70;9DIS80;9DIS90;9DS24B;9DS24C;9FTRWP;9GPO10;9GPO79;9JPO10;9JPO46;9L01WP;9L05WP;9L16PF;9OLDWP;9POADB;9SLADB;9STRWP;9WP646;9WPL10;A60MIR;A96DAR
review_flag_plan_codes,10L171;10L172;117JPO;1658C1;1658CS;1659C2;1659CR;1659CS;1659SR;1666WL;1668SP;1669SR;1679CS;170588;170858;17085M;17CSI3;17CSI5;17CSI7;17MJPO;196065;196085;1960OL;1960PO;1970JB;1991PL;1CSIMN;1L1095;1L10OD;1L10PR;1L10SO;1L10SR;1L14SC;1L15GD;1L16GD;1L17SP;1SALML;1SALOL;221END;222END;2665ST;280END;2961ME;5646AT;5667AT;5L0110;5L01MA;5L0510;5L075Y;7619DT;7647FP

PLAN,FIELD,OLD_VALUE,NEW_VALUE
17CSI3,NFOINT,,F
17CSI3,INTMETHCV,A,0
17CSI5,NFOINT,,F
17CSI5,INTMETHCV,A,0
17CSI7,NFOINT,,F
17CSI7,INTMETHCV,A,0
1CSIMN,NFOINT,,F
1CSIMN,INTMETHCV,A,0
221END,NFOINT,,2
221END,INTMETHCV,A,0
222END,NFOINT,,2
222END,INTMETHCV,A,0
5646AT,NFOINT,,2
5646AT,INTMETHCV,A,0
7647FP,NFOINT,,2
7647FP,INTMETHCV,A,0
1658C1,NFOINT,,A
1658C1,INTMETHCV,A,0
1658CS,NFOINT,,A
1658CS,INTMETHCV,A,0
1659C2,NFOINT,,A
1659C2,INTMETHCV,A,0
1659CS,NFOINT,,A
1659CS,INTMETHCV,A,0
1659CR,NFOINT,,A
1659CR,INTMETHCV,A,0
1659SR,NFOINT,,A
1659SR,INTMETHCV,A,0
2665ST,INTMETHCV,A,0
1666WL,INTMETHCV,A,0
1668SP,NFOINT,,G
1668SP,INTMETHCV,A,0
1669SR,NFOINT,,A
1669SR,INTMETHCV,A,0
170858,INTMETHCV,A,0
170588,INTMETHCV,A,0
17085M,INTMETHCV,A,0
1679CS,NFOINT,,A
1679CS,INTMETHCV,A,0
196065,INTMETHCV,A,0
196085,INTMETHCV,A,0
1960OL,INTMETHCV,A,0
1960PO,INTMETHCV,A,0
2961ME,INTMETHCV,A,0
1970JB,INTMETHCV,A,0
280END,INTMETHCV,A,0
1991PL,INTMETHCV,A,0
1L1095,NFOINT,,C
1L1095,INTMETHCV,A,0
1L10SR,NFOINT,,C
1L10SR,INTMETHCV,A,0
1L10OD,NFOINT,,C
1L10OD,INTMETHCV,A,0
1L10PR,NFOINT,,C
1L10PR,INTMETHCV,A,0
1L10SO,NFOINT,,C
1L10SO,INTMETHCV,A,0
1L14SC,NFOINT,,C
1L14SC,INTMETHCV,A,0
1L15GD,NFOINT,,C
1L15GD,INTMETHCV,A,0
1L16GD,NFOINT,,C
1L16GD,INTMETHCV,A,0
10L171,NFOINT,,C
10L171,INTMETHCV,A,0
117JPO,NFOINT,,C
117JPO,INTMETHCV,A,0
10L172,NFOINT,,C
10L172,INTMETHCV,A,0
17MJPO,NFOINT,,C
17MJPO,INTMETHCV,A,0
1L17SP,NFOINT,,C
1L17SP,INTMETHCV,A,0
1SALML,NFOINT,,4
1SALML,INTMETHCV,A,0
1SALOL,NFOINT,,4
1SALOL,INTMETHCV,A,0
